OBJECTID,REPDIST,PREC,APREC,BUREAU,BASICCAR,TOOLTIP
25,1924,19,MISSION,VALLEY BUREAU,19A1,Bureau: VALLEY BUREAU\nDistrict: 1924\nDivision: MISSION
26,1703,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1703\nDivision: DEVONSHIRE
27,1603,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1603\nDivision: FOOTHILL
28,1714,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1714\nDivision: DEVONSHIRE
29,1716,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1716\nDivision: DEVONSHIRE
30,1601,16,FOOTHILL,VALLEY BUREAU,16A11,Bureau: VALLEY BUREAU\nDistrict: 1601\nDivision: FOOTHILL
31,1618,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1618\nDivision: FOOTHILL
32,1931,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1931\nDivision: MISSION
33,1619,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1619\nDivision: FOOTHILL
34,1712,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1712\nDivision: DEVONSHIRE
35,1602,16,FOOTHILL,VALLEY BUREAU,16A11,Bureau: VALLEY BUREAU\nDistrict: 1602\nDivision: FOOTHILL
36,1713,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1713\nDivision: DEVONSHIRE
37,1605,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1605\nDivision: FOOTHILL
38,1709,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1709\nDivision: DEVONSHIRE
39,1606,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1606\nDivision: FOOTHILL
40,1617,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1617\nDivision: FOOTHILL
41,1611,16,FOOTHILL,VALLEY BUREAU,16A11,Bureau: VALLEY BUREAU\nDistrict: 1611\nDivision: FOOTHILL
